bfs,1_Alte_TT,2_Fam_TT,3_Rest_TT,11_Alleine_A,12_Paar_beide_alt_AA,13_Paar_eine_alt_AE,21_Allein_klKinder,22_Paar_klKinder
68,19.9,24.9,55.2,7.8,7.5,4.6,2.1,22.9
69,22.7,18.8,58.5,10.6,8.2,3.9,1.6,17.2
70,32.7,16.7,50.6,15.1,11.2,6.4,0.8,15.9
71,32.2,17.9,49.9,10.8,13.6,7.8,0.5,17.4
72,28.2,17,54.9,10.1,11.6,6.5,1.7,15.3
81,29.4,16.9,53.6,6.9,12.5,10.1,2.8,14.1
82,29.1,20,50.9,10.7,12.7,5.8,1,19
83,21.3,20.6,58.1,8,7.9,5.3,2,18.6
84,24.7,20.2,55.1,8.8,9.9,6,1.3,18.9
85,22.5,21.6,55.9,8.5,8.5,5.6,2.9,18.7
86,25.8,17.6,56.7,10.7,10,5.1,1.4,16.2
87,23.3,29.6,47.1,8,7.2,8,1.4,28.3
88,29.6,14.2,56.1,9.5,12.5,7.7,1.2,13
89,24.8,18.8,56.4,10.3,8.7,5.8,1.2,17.6
90,25.1,21,53.9,9.3,10,5.7,2,19
91,24,21.1,54.9,9,9.7,5.3,1.7,19.4
92,18.4,19.8,61.8,8.3,5.4,4.7,1.6,18.1
93,25.8,17.2,57,6.9,12.2,6.8,1.6,15.6
94,25.2,22.8,52.1,8.4,10.8,5.9,2.2,20.6
95,26.9,13.5,59.6,9.4,13.5,4,2.7,10.8
96,25.7,19.5,54.7,11.1,9.2,5.4,1.9,17.6
97,24.3,20.5,55.2,10.9,7.8,5.6,1.8,18.8
98,25.4,18.3,56.3,6.5,9.6,9.3,0.9,17.3
99,32.2,17.5,50.2,13.6,11.6,7.1,1.2,16.4
100,25.7,18.4,55.9,10.5,8.9,6.3,1.6,16.8
101,26.2,18.9,55,10.6,10.4,5.2,1.3,17.6
102,19.2,18.4,62.4,5.9,7.3,6,1.5,16.9
111,31,19.6,49.4,9.7,13.3,8,1.7,18
112,30.5,19.6,50,11.1,12.6,6.8,1.5,18.1
113,27.2,19,53.7,11,10.6,5.6,1.6,17.4
114,26.1,21.3,52.6,9.5,8.6,7.9,2.5,18.8
115,29.6,18.8,51.7,11.5,12,6.1,1.5,17.3
116,28.7,19.4,51.9,11.8,10.7,6.3,1,18.4
117,29.1,17.2,53.7,11.8,11.3,6,1.7,15.4
118,29,16.7,54.3,13.6,9.6,5.9,1.8,15
